#Frequency response,,,,,,,,,,,,
#J column is FBG's FFT value;,,,,,,,,,,,,
#K column is piezo's FFT value;,,,,,,,,,,,,
#L column is FBG's sensitivity obtained by FBG FFT(J column) divided by Piezo FFT(K column) ;,,,,,,,,,,,,
#M coumn is 2 times of L column;,,,,,,,,,,,,
Piezo(V),FBG(pm),,,,,,,,,,,
,,B-1536638,A-0.758,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.753,1536669,31,-0.005,,,,,frequency(Hz),FBG FFT,Piezo FFT,sensitivity,crest-to-trough
0.755,1536669,31,-0.003,,,,,,,,J/K,L*2
0.756,1536669,31,-0.002,,,,,10,166.62,0.1512,1101.984127,2203.968254
0.756,1536669,31,-0.002,,,,,20,25.32,0.004713,5372.374284,10744.74857
0.754,1536669,31,-0.004,,,,,30,10.67,0.002533,4212.396368,8424.792736
0.754,1536669,31,-0.004,,,,,40,12.84,0.01695,757.5221239,1515.044248
0.756,1536669,31,-0.002,,,,,50,4.701,0.007109,661.2744408,1322.548882
0.756,1536669,31,-0.002,,,,,60,8.412,0.005452,1542.920029,3085.840059
0.755,1536669,31,-0.003,,,,,70,12.76,0.005826,2190.181943,4380.363886
0.754,1536669,31,-0.004,,,,,80,8.603,0.002791,3082.407739,6164.815478
0.755,1536669,31,-0.003,,,,,90,2.956,0.0001698,17408.71614,34817.43227
0.756,1536669,31,-0.002,,,,,100,0.4146,0.0004756,871.7409588,1743.481918
0.756,1536669,31,-0.002,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.755,1536668,30,-0.003,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.752,1536669,31,-0.006,,,,,,,,,
0.753,1536669,31,-0.005,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.753,1536669,31,-0.005,,,,,,,,,
0.753,1536668,30,-0.005,,,,,,,,,
0.754,1536668,30,-0.004,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.754,1536668,30,-0.004,,,,,,,,,
0.753,1536669,31,-0.005,,,,,,,,,
0.753,1536669,31,-0.005,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.753,1536669,31,-0.005,,,,,,,,,
0.753,1536669,31,-0.005,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.753,1536669,31,-0.005,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.756,1536668,30,-0.002,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.754,1536669,31,-0.004,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.755,1536668,30,-0.003,,,,,,,,,
0.755,1536669,31,-0.003,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.759,1536669,31,0.001,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.756,1536669,31,-0.002,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.759,1536669,31,0.001,,,,,,,,,
0.76,1536669,31,0.002,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.757,1536669,31,-0.001,,,,,,,,,
0.759,1536669,31,0.001,,,,,,,,,
0.759,1536669,31,0.001,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.758,1536669,31,0,,,,,,,,,
0.759,1536669,31,0.001,,,,,,,,,
0.76,1536669,31,0.002,,,,,,,,,
0.76,1536669,31,0.002,,,,,,,,,
0.76,1536669,31,0.002,,,,,,,,,
0.76,1536669,31,0.002,,,,,,,,,
0.761,1536669,31,0.003,,,,,,,,,
0.762,1536670,32,0.004,,,,,,,,,
0.76,1536670,32,0.002,,,,,,,,,
0.759,1536670,32,0.001,,,,,,,,,
0.759,1536669,31,0.001,,,,,,,,,
0.76,1536670,32,0.002,,,,,,,,,
0.761,1536670,32,0.003,,,,,,,,,
0.76,1536669,31,0.002,,,,,,,,,
